Province,Cluster,Confirmed,Cured,Dead
台湾,5,3190787,13742,4868
上海,3,63152,62409,595
重庆,1,721,707,6
湖北,4,68400,63887,4512
湖南,1,1398,1389,4
香港,4,334215,63056,9392
陕西,2,3305,3281,3
福建,2,3359,3298,1
四川,2,2362,2335,3
浙江,2,3147,3132,1
内蒙古,1,2073,1758,1
辽宁,1,1713,1683,2
北京,2,3644,3403,9
广东,2,7361,7309,8
云南,2,2157,2148,2
天津,2,1985,1954,3
河北,2,2007,1998,7
江苏,2,2236,2235,0
广西,1,1649,1642,2
河南,2,3183,3160,22
黑龙江,2,2986,2971,13
山东,2,2738,2728,7
山西,1,423,421,0
澳门,1,83,83,0
吉林,3,40293,40288,5
青海,1,147,147,0
海南,1,288,282,6
江西,1,1383,1382,1
贵州,1,185,183,2
安徽,1,1065,1059,6
新疆,1,1008,1005,3
甘肃,1,681,679,2
宁夏,1,122,122,0
西藏,1,1,1,0
