provinceName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
上海市,4475,3888,7,2022-03-04 16:42:29
吉林省,629,588,3,2022-03-04 16:42:29
台湾,20717,13742,853,2022-03-04 16:37:08
河北省,1482,1469,7,2022-03-04 10:57:28
福建省,1568,1477,1,2022-03-04 10:38:40
四川省,1490,1379,3,2022-03-04 10:36:20
香港,138145,20649,1366,2022-03-04 10:32:09
浙江省,2275,1981,1,2022-03-04 10:28:22
江苏省,1781,1691,0,2022-03-04 10:26:26
河南省,2677,2636,22,2022-03-04 10:24:19
内蒙古自治区,1630,1320,1,2022-03-04 10:21:12
广东省,5033,3925,8,2022-03-04 10:20:14
湖北省,68377,63808,4512,2022-03-04 10:14:24
天津市,1136,1092,3,2022-03-04 10:09:28
广西壮族自治区,1159,863,2,2022-03-04 10:04:25
山东省,1144,1090,7,2022-03-04 09:17:22
辽宁省,1029,829,2,2022-03-04 09:16:08
黑龙江省,2092,2050,13,2022-03-04 09:13:11
北京市,1504,1370,9,2022-03-04 09:10:11
云南省,1966,1880,2,2022-03-04 09:01:24
澳门,82,79,0,2022-03-03 10:39:10
山西省,286,268,0,2022-03-03 10:35:08
甘肃省,369,358,2,2022-03-03 10:33:23
安徽省,1013,1003,6,2022-03-03 10:14:19
湖南省,1234,1226,4,2022-03-02 09:47:14
重庆市,622,607,6,2022-03-02 09:13:20
海南省,191,184,6,2022-03-01 10:14:30
贵州省,162,160,2,2022-02-22 09:51:40
新疆维吾尔自治区,996,993,3,2022-02-15 09:18:20
陕西省,2826,2823,3,2022-02-06 08:55:20
青海省,30,30,0,2021-12-04 09:50:44
宁夏回族自治区,122,122,0,2021-11-29 09:53:04
江西省,959,958,1,2021-11-27 10:47:22
西藏自治区,1,1,0,2021-09-03 19:55:09
